0;25.112989209604315;initial
1.0;24.960986116159265;MB#1-E02
2.0;23.518290085214005;MN#1-E03
3.0;23.37073289680015;MB#2-E04
4.0;20.952572057706917;MN#2-E04
5.0;17.384547687744647;MB#3-E06
6.0;17.195929644421255;MN#3-E06
7.0;15.204571144249204;MB#4-E08
8.0;13.727920454563199;MN#4-E08 -- Blackout
9.0;13.483815777264256;MB#5-E10
10.0;10.169925001442312;MN#5-E10
11.0;7.129283016944966;MB#6-E12
12.0;6.22881869049588;MN#6-E12
13.0;5.977279923499917;MB#7-E14
14.0;3.9068905956085187;MN#7-E14
15.0;3.321928094887362;MB#8-E16
16.0;0.0;MN#8-E16
17.0;0.0;MB#9-E18
18.0;0.0;MN#9-E18
19.0;0.0;MB#10-E20
20.0;0.0;MN#10-E20
