2,0,1.0,2.4296387097929104,E04
2,1,2.0,1.3486761909207665,E06 -- -50k Kamera verdeckt (Kevin+Ariel)
2,1,3.0,1.4322870130030523,E08 -- +20€ aus Grosszuegigkeit :)
3,1,4.0,2.421296433986845,E10
4,1,5.0,2.3976776785267035,E12
4,2,6.0,2.142761229945898,E14
5,2,7.0,4.05844676739017,E16
4,2,8.0,0.7227946940341684,E18
4,2,9.0,0.9259994185562229,E19
7,3,10.0,2.254813899028825,E21
10,3,11.0,1.4594316186372973,E22 (Wiedersehen)
10,3,11.0,0.0,E22 (Wiedersehen)
10,3,11.199999809265137,3.0,E22 (Wiedersehen-2)
