0.0,25.25049273335425,,,initial
1.0,25.112989209604315,0,0,MB#1-E01
2.0,21.113910637122427,3,0,MN#1-E02
3.0,21.004787611551023,0,0,MB#2-E03
4.0,18.13360382022748,3,0,MN#2-E03
5.0,17.062214824659108,1,0,MB#3-E04
6.0,15.201549632077034,3,1,MN#3-E04
7.0,15.108279413033905,0,1,MB#4-E06
8.0,13.650603022215309,2,1,MN#4-E06
9.0,13.497103357016877,0,1,MB#5-E08
10.0,10.727920454563199,4,1,MN#5-E08
11.0,10.573647187493322,0,1,MB#6-E09
12.0,9.164906926675688,4,1,MN#6-E09
13.0,9.071462362556623,0,1,MB#7-E10
14.0,7.0,4,1,MN#7-E11
15.0,7.0,1,1,MB#8-E12
16.0,5.087462841250339,4,2,MN#8-E12
17.0,5.087462841250339,0,2,MB#9-E12
18.0,2.321928094887362,4,2,MN#9-E13
19.0,1.0,1,2,MB#10-E14
20.0,0.0,11,3,MN#10-E14
